Case_ID,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Texture,Pollution_Severity,Pollutant_Concentration_mg in kg,"Pollutant Concentration, Text-type"
CASE_100377,6.27,31.2,67.3,236.7,Sandy,Medium,179.04,High
CASE_100378,6.55,13.6,48.8,195.1,Loamy,Medium,51.3,Medium
CASE_100379,6.9,36,58,253.6,Sandy,Medium,190.35,High
CASE_100380,5.95,26.5,23.4,56,Loamy,Medium,54.61,Medium
CASE_100381,5.83,26.9,34.7,244.3,Sandy,High,194.45,High
CASE_100382,6.57,10.2,20.6,87.6,Loamy,Low,45.36,Low
CASE_100383,5.86,38.1,62.9,205.1,Silty,High,26.07,Low
CASE_100384,6.09,13,66.3,45.5,Loamy,Low,186.69,High
CASE_100385,8,27.3,72.7,397.1,Silty,High,103.95,High
CASE_100386,6.08,24.8,50.8,363,Loamy,High,58.57,Medium
CASE_100387,5.74,38.8,91.6,328.5,Clay,High,123.54,High
CASE_100388,4.7,19,24.5,241.5,Loamy,High,129.1,High
CASE_100389,6.04,26,47.7,48.4,Sandy,Medium,27.33,Low
CASE_100390,4.78,12.8,46.6,376.7,Clay,High,151.48,High
CASE_100391,5.95,30.8,20.8,254.4,Loamy,Low,137.34,High
CASE_100392,7.99,35.3,29,361,Loamy,Low,124.45,High
CASE_100393,5.07,10.4,51.7,118,Silty,Medium,109.12,High
CASE_100394,4.67,14.3,61.9,137.3,Silty,Low,117.55,High
CASE_100395,7.88,34.2,52.2,269.2,Loamy,Medium,132.2,High
CASE_100396,7.66,25.6,79.9,329,Silty,Medium,64.73,Medium
CASE_100397,6.22,21.2,63.7,148.5,Loamy,High,183.74,High
CASE_100398,7.25,23.1,32.5,172.2,Silty,Low,142.59,High
CASE_100399,5.88,15.4,21.9,258.3,Silty,High,178.57,High
CASE_100400,4.79,24.3,43.3,270.8,Silty,High,71.42,Medium
CASE_100401,5.37,44.6,54.1,275.3,Loamy,Low,76.1,Medium
CASE_100402,4.61,27.7,92.3,153.7,Sandy,High,99.69,Medium
CASE_100403,6.05,15.6,21.8,302.5,Clay,Low,11.04,Low
CASE_100404,8.1,14.1,91.7,125.6,Silty,Medium,61.4,Medium
CASE_100405,7.81,44.4,41.6,384.5,Sandy,High,122.57,High
CASE_100406,5.86,28.9,31.6,221.5,Silty,High,80.17,Medium
CASE_100407,7.83,25.4,42.7,103.7,Sandy,High,153.57,High
CASE_100408,5.87,19.5,92.5,223.1,Silty,Low,16.24,Low
CASE_100409,5.06,25.5,67,195.6,Loamy,High,118.19,High
CASE_100410,8.02,31.8,62.7,248.3,Sandy,High,198.8,High
CASE_100411,4.66,26.6,60.7,91.1,Sandy,High,82.05,Medium
CASE_100412,7.39,28.7,85.2,52.3,Loamy,High,182.34,High
CASE_100413,7.68,19.7,85.8,377.6,Sandy,Low,29.34,Low
CASE_100414,8.42,26.9,84.8,235.5,Silty,Medium,95.22,Medium
CASE_100415,5.31,36.7,49,204.5,Sandy,High,60.73,Medium
CASE_100416,7.96,44.3,50.6,331,Clay,Low,117.57,High
CASE_100417,8.32,17,28.2,341.6,Clay,Medium,116.84,High
CASE_100418,8.07,12.2,86.3,179.3,Sandy,Low,170.16,High
CASE_100419,8.21,10.7,55.8,275.1,Silty,Medium,127.19,High
CASE_100420,5.04,20.5,46.9,321.8,Silty,Low,140.04,High
CASE_100421,8.33,10.3,94.8,270.7,Silty,Low,46.09,Low
CASE_100422,4.56,35.8,82.6,296.2,Sandy,Low,62.45,Medium
CASE_100423,7.58,33,77.5,338.4,Silty,Medium,151.92,High
CASE_100424,6.45,12.7,50.6,162.8,Clay,Medium,22.28,Low
CASE_100425,4.94,38.3,91.1,28.9,Silty,High,73.02,Medium
CASE_100426,5.7,12.7,57.5,317.8,Sandy,Medium,106.9,High
CASE_100427,4.79,24.1,42.1,93,Loamy,Low,14.79,Low
CASE_100428,8.22,24.2,88,128.6,Loamy,Low,161.68,High
CASE_100429,7.06,44.3,65.3,143.1,Loamy,Low,49.08,Low
CASE_100430,8.05,27.6,53.7,234.3,Clay,High,28.97,Low
CASE_100431,7.23,18.5,73.5,329,Loamy,Medium,19,Low
CASE_100432,6.58,15,78.2,108.6,Clay,High,112.74,High
CASE_100433,5.04,32,24.1,299.5,Clay,Low,60.43,Medium
CASE_100434,6.54,11.6,40.7,282.8,Loamy,Low,5.03,Low
CASE_100435,4.52,18.6,75.6,126.5,Sandy,Low,168.67,High
CASE_100436,5.58,39.5,43.5,315.6,Loamy,Medium,75.25,Medium
CASE_100437,8.14,23.2,92.3,35.7,Loamy,High,89.59,Medium
CASE_100438,6.05,32.1,72.8,1.7,Silty,High,101.29,High
CASE_100439,7.17,43.8,77.1,380.3,Silty,Low,144.04,High
CASE_100440,4.92,37.4,68.3,19.3,Silty,Low,63.12,Medium
CASE_100441,6.5,25.1,54.3,83.6,Sandy,High,191.58,High
CASE_100442,4.71,36.9,51.2,328.9,Sandy,High,77.11,Medium
CASE_100443,7.13,26.5,86,86.3,Clay,Low,46.34,Low
CASE_100444,5.68,14.8,68.9,295.4,Silty,Low,123.51,High
CASE_100445,6.08,35,34.9,356.1,Sandy,Medium,130.74,High
CASE_100446,4.73,13.9,58.7,107,Clay,Low,76.72,Medium
CASE_100447,6.02,21.8,21.4,49.7,Sandy,Low,7.87,Low
CASE_100448,6.12,28.6,64.6,4,Silty,Medium,101.11,High
CASE_100449,6.58,33.7,43.4,309.6,Clay,Low,192.88,High
CASE_100450,8.4,14.4,21.3,308.1,Silty,Low,106.65,High
CASE_100451,5.56,10.6,42,309.3,Sandy,Low,28.44,Low
CASE_100452,5.99,10,42.5,258.6,Sandy,High,72.88,Medium
CASE_100453,4.59,41.4,78.7,312.2,Silty,High,170.18,High
CASE_100454,5.71,12.3,37.1,98.6,Loamy,Medium,82.61,Medium
CASE_100455,6.4,12,91.8,377.1,Loamy,High,150.75,High
CASE_100456,6.68,43.7,25.7,146.3,Loamy,Medium,198.31,High
CASE_100457,5.06,31.8,78.6,231.3,Sandy,High,43.19,Low
CASE_100458,7.04,23.6,70.6,104,Silty,Medium,163.17,High
CASE_100459,5.66,26.4,86.8,283.1,Clay,Low,183.91,High
CASE_100460,4.53,32.1,53.6,53.7,Sandy,Medium,33.72,Low
CASE_100461,5.47,27.5,71,30.5,Clay,Medium,108.28,High
CASE_100462,6.34,29.1,52.5,17.6,Silty,Medium,162.36,High
CASE_100463,5.34,11.7,83.3,392.5,Silty,High,91.88,Medium
CASE_100464,5.47,43.6,34.8,380.6,Loamy,High,171.49,High
CASE_100465,8.42,29.9,39.5,174.8,Silty,Medium,143.79,High
CASE_100466,6.99,44.3,34.3,317,Silty,Low,19.25,Low
CASE_100467,8.34,28.3,93.3,302.9,Clay,High,189.02,High
CASE_100468,7.37,18.7,68,266.6,Clay,High,98,Medium
CASE_100469,7.59,27.5,20.9,3.6,Silty,High,115.19,High
CASE_100470,5.41,32.2,36.7,128.7,Sandy,Low,185.61,High
CASE_100471,4.88,25,22.2,192.4,Clay,High,147.13,High
CASE_100472,5.66,23.9,89,397.3,Silty,Medium,28.11,Low
CASE_100473,5.99,23.7,76.6,367.4,Silty,Low,153.4,High
CASE_100474,5.93,37.6,38.8,225.6,Clay,Low,117.54,High
CASE_100475,5.46,16.7,88.9,40.7,Sandy,High,133.04,High
CASE_100476,4.66,11.3,33.1,346.7,Loamy,Low,48.07,Low
CASE_100477,6.83,25.3,63.5,206.7,Silty,High,190.34,High
CASE_100478,5.91,41.3,91,357,Clay,High,60.09,Medium
CASE_100479,6.41,27.4,35.4,236.5,Loamy,High,157.17,High
CASE_100480,7.92,17.2,25.3,27.6,Clay,Low,69.66,Medium
CASE_100481,6.14,38.4,82.7,132.9,Sandy,High,103.85,High
CASE_100482,7.12,15.3,85.7,215.6,Clay,High,155.37,High
CASE_100483,4.65,14.5,77.4,0,Loamy,High,87.92,Medium
CASE_100484,4.72,44.1,37,121.7,Sandy,Medium,106.89,High
CASE_100485,4.51,35.5,92.5,89.7,Sandy,Medium,49.93,Low
CASE_100486,7.89,24.8,42.7,130.1,Loamy,Low,149.67,High
CASE_100487,5.23,23,87.6,322.7,Sandy,Low,164.27,High
CASE_100488,6.07,30.7,69.6,31.4,Silty,Low,152.08,High
CASE_100489,5.17,37.3,63.8,380.9,Loamy,Low,143.32,High
CASE_100490,6.91,20.4,73.6,303.6,Clay,Low,56.74,Medium
CASE_100491,6.54,22.9,90,331,Clay,High,105.2,High
CASE_100492,6.35,42.2,72.1,291.6,Loamy,High,144.29,High
CASE_100493,7.73,16.8,45.9,134.2,Silty,Medium,58.44,Medium
CASE_100494,7.3,35.4,62.2,378.8,Sandy,Low,172.02,High
CASE_100495,5.15,37.5,75.1,153.7,Silty,High,79.2,Medium
CASE_100496,4.55,34.6,92.8,175.1,Sandy,Medium,168.6,High
CASE_100497,7.77,29.1,92.5,20.7,Sandy,Low,142.45,High
CASE_100498,7.95,16.3,80,221.1,Clay,Medium,145.1,High
CASE_100499,7.96,15.5,43.2,116,Silty,High,30.68,Low
CASE_100500,7.69,18.8,66.9,228.7,Clay,Medium,136.18,High
CASE_100501,4.55,33.6,23.9,219.5,Sandy,Low,181.69,High
CASE_100502,5.91,31.7,45.1,293.1,Silty,Medium,64.82,Medium
CASE_100503,7.64,20,52.5,274.2,Clay,Medium,18.33,Low
CASE_100504,6,43.1,68.1,268.6,Clay,Medium,16.03,Low
CASE_100505,6.17,36.3,27.6,111.1,Sandy,High,43.8,Low
CASE_100506,8.42,12.4,58.9,71.7,Clay,High,89.24,Medium
CASE_100507,6.11,35.8,72.8,169.1,Silty,Medium,27.09,Low
CASE_100508,5.56,17.2,56.2,107.4,Sandy,Medium,82.53,Medium
CASE_100509,8.37,31.1,25.8,30.2,Silty,Medium,133.07,High
CASE_100510,4.87,31,66.8,259.4,Sandy,Medium,62.97,Medium
CASE_100511,8.36,18.8,70.7,282.7,Silty,High,7.95,Low
CASE_100512,5.58,30.9,85,378.7,Sandy,High,66.02,Medium
CASE_100513,8.28,35.8,86.2,81.1,Sandy,High,35.19,Low
CASE_100514,7.22,24.3,21.2,233.2,Clay,Low,141.72,High
CASE_100515,8.33,24,83,75.4,Loamy,Medium,92.8,Medium
CASE_100516,4.91,10.3,52.5,37.1,Sandy,Low,195.52,High
CASE_100517,6.24,19.1,52.6,289.4,Sandy,Medium,183.34,High
CASE_100518,6.95,32.3,38.2,285.6,Sandy,Medium,119.94,High
CASE_100519,8.01,35.9,21,99.4,Clay,Low,43.86,Low
CASE_100520,5.49,12.2,54.4,293.1,Clay,Medium,57.81,Medium
CASE_100521,4.82,43.3,82.9,322,Silty,High,136.21,High
CASE_100522,6.68,17,66.3,297.2,Loamy,High,186.88,High
CASE_100523,4.77,23,89.1,233.8,Clay,Medium,106.68,High
CASE_100524,5.97,41.3,70,315,Loamy,High,57.43,Medium
CASE_100525,5.49,34.7,52.1,177,Silty,High,127.9,High
CASE_100526,4.76,38.9,41.9,177.6,Clay,Medium,187.57,High
CASE_100527,6.51,12,56.8,370.8,Silty,Low,63.7,Medium
CASE_100528,6.14,32.9,39.5,63.8,Sandy,High,154.07,High
CASE_100529,5.24,33.2,86.1,325.7,Loamy,Low,18.75,Low
CASE_100530,5.66,20.8,38.7,206,Sandy,Medium,26.53,Low
CASE_100531,5.92,39,79.2,123.1,Loamy,Low,74.59,Medium
CASE_100532,5.81,22.4,57.9,376.4,Clay,Low,190.8,High
CASE_100533,6.07,29.4,57.7,77.5,Sandy,Medium,25,Low
CASE_100534,7.85,40.1,76.1,175.7,Loamy,Medium,137,High
CASE_100535,7.19,16.3,72,91.8,Silty,Low,36.27,Low
CASE_100536,4.51,35.2,74.9,206,Silty,Medium,37.23,Low
CASE_100537,4.58,15.8,86.8,96.6,Silty,Low,21.29,Low
CASE_100538,5.39,28.2,65.6,98.1,Silty,Low,25.54,Low
CASE_100539,5.44,17.7,92,246.5,Silty,Low,81.25,Medium
CASE_100540,6.22,28.9,72.2,280.9,Sandy,Low,86.08,Medium
CASE_100541,6.15,40.5,67.4,213,Sandy,Medium,102.52,High
CASE_100542,4.97,21.8,30.7,276.8,Sandy,Low,123.1,High
CASE_100543,8.08,17.2,58.1,167.7,Loamy,Medium,81.41,Medium
CASE_100544,4.78,26.6,62.1,251.4,Silty,Low,159.59,High
CASE_100545,4.54,35.3,60.2,334.4,Clay,Low,54.39,Medium
CASE_100546,6.44,21.7,79.4,180.5,Clay,Medium,169.45,High
CASE_100547,8.03,26.3,25.7,155.1,Silty,Low,171.72,High
CASE_100548,5.31,12.3,85.8,155.8,Loamy,Low,180.85,High
CASE_100549,4.77,32.7,25.6,150.2,Loamy,High,193.77,High
CASE_100550,8.49,29.6,44.1,88,Loamy,Medium,89.53,Medium
CASE_100551,4.77,22.9,54.8,289.1,Loamy,High,77.64,Medium
CASE_100552,4.53,17.6,69.6,193.6,Sandy,High,143.21,High
CASE_100553,7.59,29.2,25,306.6,Clay,High,161.88,High
CASE_100554,7.51,38.1,58.9,56.1,Loamy,High,157.48,High
CASE_100555,7.47,15.9,34.6,356.2,Sandy,Medium,125.99,High
CASE_100556,7.53,30.9,69.1,355.7,Loamy,High,182.1,High
CASE_100557,5.13,26.6,73.7,108.4,Silty,Medium,128.32,High
CASE_100558,5.47,17.5,51.9,363.1,Silty,Medium,66.2,Medium
CASE_100559,4.81,34.4,48.7,328.7,Loamy,High,41.64,Low
CASE_100560,5.59,34.2,39.8,375.6,Clay,Medium,160.27,High
CASE_100561,5.58,16.7,72.1,87.5,Sandy,Low,68.28,Medium
CASE_100562,7.15,38.5,78.4,304.3,Clay,High,56.6,Medium
CASE_100563,7.3,22.9,52.4,12.5,Silty,High,22.24,Low
CASE_100564,8.02,18.5,61.8,15.6,Loamy,Low,11.57,Low
CASE_100565,8.09,41.1,44.4,360.4,Silty,Low,67.99,Medium
CASE_100566,7.88,18.7,63.3,26.9,Sandy,Medium,165.96,High
CASE_100567,5.81,36.2,80.5,343.2,Loamy,Medium,199.78,High
CASE_100568,4.66,24.4,29.8,9,Sandy,Low,52.09,Medium
CASE_100569,6.76,20.9,69.1,92.8,Clay,Low,157.83,High
CASE_100570,6.99,36.7,22.9,334.8,Loamy,Low,154.05,High
CASE_100571,7,40.3,64,232.4,Loamy,Medium,114.86,High
CASE_100572,6.27,34.8,49.2,91.6,Clay,Low,152.56,High
CASE_100573,8.22,22,59.6,84.7,Silty,Medium,186,High
CASE_100574,7.1,38.2,73.6,237.3,Loamy,High,196.32,High
CASE_100575,7.2,33.7,48,376.7,Sandy,Medium,93.68,Medium
CASE_100576,7.26,34.4,68.6,110.1,Loamy,Low,102.57,High
CASE_100577,6.9,16.3,72.9,182.1,Clay,Low,129.01,High
CASE_100578,5.18,10.7,78.4,243.9,Silty,Low,168.29,High
CASE_100579,7.71,43.6,60.2,195.4,Loamy,Medium,168.44,High
CASE_100580,6.79,19.7,89.1,233.3,Silty,High,34.97,Low
CASE_100581,4.71,11.1,51.8,33.8,Clay,Low,74.21,Medium
CASE_100582,8.03,33.1,35.8,345.2,Loamy,Low,176.79,High
CASE_100583,7.45,20,80.2,398.9,Sandy,Low,43.35,Low
CASE_100584,6.99,44.1,54.9,339,Sandy,High,179.99,High
CASE_100585,4.77,44.1,81.3,341,Sandy,High,70.38,Medium
CASE_100586,6.04,12.5,35.8,91.7,Loamy,High,21.6,Low
CASE_100587,4.9,15.9,31,389.2,Clay,Medium,57.37,Medium
CASE_100588,6.26,19.7,79.9,130.5,Loamy,Medium,193.71,High
CASE_100589,5.02,19,46.6,269.6,Loamy,Medium,50.34,Medium
CASE_100590,7.74,15.1,45.7,345.9,Clay,High,46.05,Low
CASE_100591,6.44,20.6,62.3,321.5,Silty,Low,21.13,Low
CASE_100592,6.52,15,66.8,109.5,Loamy,High,118.24,High
CASE_100593,6.34,20.7,81.7,22.8,Silty,Medium,21.04,Low
CASE_100594,7.4,30.1,70,310.8,Silty,Medium,94.39,Medium
CASE_100595,6.65,39.4,94.2,355.8,Sandy,Low,66.21,Medium
CASE_100596,6.46,36,56.9,193.3,Clay,High,43.06,Low
CASE_100597,7.94,24.2,44.6,181.6,Clay,Medium,75.47,Medium
CASE_100598,5.29,43.3,33.2,227.1,Sandy,Low,29.57,Low
CASE_100599,7.08,18,61.4,148.9,Loamy,High,100.48,High
CASE_100600,6.78,16.5,40.9,87.5,Silty,Low,32.54,Low
CASE_100601,5.64,42.4,92.7,228.5,Sandy,High,166.01,High
CASE_100602,7.69,22.9,26.5,222.7,Sandy,High,78.04,Medium
CASE_100603,5.2,33.5,36.5,87.3,Loamy,Medium,160.21,High
CASE_100604,5.55,10,85.3,317,Clay,Low,53.69,Medium
CASE_100605,5.11,26,46.3,37.5,Silty,High,151.3,High
CASE_100606,4.66,20.2,35.6,95.3,Sandy,Medium,184.54,High
CASE_100607,6.37,36.6,31.6,194.9,Silty,High,96.27,Medium
CASE_100608,8.5,36.9,49.8,331,Loamy,Low,121.4,High
CASE_100609,5.32,21.9,58.3,246.1,Sandy,Low,10.94,Low
CASE_100610,6.51,11.8,22.6,220.5,Loamy,Low,104.42,High
CASE_100611,5.14,10.9,53.7,95,Loamy,Medium,168.64,High
CASE_100612,4.95,31.3,41.1,69.4,Sandy,Low,146.3,High
CASE_100613,6.07,36.3,29.4,309.1,Loamy,High,161.28,High
CASE_100614,6.76,42.5,49,26.5,Loamy,High,137.09,High
CASE_100615,6.6,37.1,37.6,138,Clay,High,166.24,High
CASE_100616,7.17,42.7,39.9,244.6,Sandy,Low,192.49,High
CASE_100617,7.89,43.2,86.4,295.6,Loamy,Medium,66.92,Medium
CASE_100618,8.35,10.4,73.7,282.5,Silty,High,59.92,Medium
CASE_100619,5.75,21.9,25.9,177.1,Sandy,Low,198.07,High
CASE_100620,7.84,42.7,33.9,149,Clay,High,71.96,Medium
CASE_100621,4.87,15.7,64.6,60.2,Sandy,Medium,17.05,Low
CASE_100622,6.51,18.6,55.3,264.8,Clay,Medium,92.11,Medium
CASE_100623,6.81,41.7,81.3,302.8,Loamy,High,152,High
CASE_100624,5.35,33.2,50.8,161,Loamy,Medium,6.34,Low
CASE_100625,8.14,21,71.8,108.7,Clay,High,179.63,High
CASE_100626,5.87,25,82.3,48,Loamy,Medium,41,Low
CASE_100627,5.65,27.2,42.5,238.4,Sandy,High,108.63,High
CASE_100628,4.97,29.1,87.7,137.6,Clay,Medium,37.06,Low
CASE_100629,8.23,38.7,62.5,262.8,Sandy,Low,133.44,High
CASE_100630,5.81,10.4,82,320.4,Sandy,Medium,82.91,Medium
CASE_100631,6.36,14.2,93.5,85.9,Sandy,Medium,117.49,High
CASE_100632,7.46,11.1,69.4,212.9,Sandy,Medium,121,High
CASE_100633,6.77,20.4,90.4,327.5,Loamy,Medium,38.64,Low
CASE_100634,8.38,25.1,46.1,20.1,Silty,Medium,55.64,Medium
CASE_100635,6.33,17.9,66,101.1,Sandy,Low,139.94,High
CASE_100636,7.79,38.7,55.8,140.3,Loamy,High,75.05,Medium
CASE_100637,5.81,17.3,26.4,186.7,Clay,Medium,162.11,High
CASE_100638,5.38,23.3,80.6,329.4,Clay,High,168.98,High
CASE_100639,5.71,42.6,28.9,373.5,Silty,High,94.53,Medium
CASE_100640,4.63,26.6,50.6,64.5,Silty,Low,108.66,High
CASE_100641,6.75,35,25.1,167.1,Silty,Low,194.37,High
CASE_100642,8.25,33.2,25.8,141.9,Clay,Medium,124.5,High
CASE_100643,7.83,38.5,65.9,149.4,Silty,Low,83.63,Medium
CASE_100644,5.92,24.5,70.7,263.3,Silty,Medium,25.65,Low
CASE_100645,5.23,15.5,82,16.8,Clay,Low,82.08,Medium
CASE_100646,8.02,29.5,37.4,201,Sandy,Medium,37.8,Low
CASE_100647,5.38,41,90.1,366.6,Silty,Medium,191.83,High
CASE_100648,6.11,36.3,59.8,271,Loamy,Low,127.82,High
CASE_100649,7.8,15.1,82.5,216.1,Clay,High,147.64,High
CASE_100650,6.02,42,38.8,337.7,Clay,Low,89.1,Medium
CASE_100651,5.73,30.1,44.4,15.7,Clay,Medium,105.25,High
CASE_100652,8.41,43.8,49.6,291.3,Clay,Low,6.24,Low
CASE_100653,7.72,43.1,50,313.3,Loamy,High,135.86,High
CASE_100654,4.6,31.1,69.5,275.2,Loamy,Medium,198.11,High
CASE_100655,5.22,31.8,36.7,122.9,Sandy,Medium,188.01,High
CASE_100656,5.14,16,51.4,302.9,Sandy,High,86.35,Medium
CASE_100657,6.07,13.5,21.2,264.7,Silty,Low,21.4,Low
CASE_100658,5.44,10.8,82.6,389.9,Clay,Medium,36.79,Low
CASE_100659,7.97,42.4,51.5,20.2,Clay,Low,50.14,Medium
CASE_100660,6.07,11,63.7,4.5,Clay,High,116.92,High
CASE_100661,4.66,30.6,49.8,389.5,Sandy,Medium,64.75,Medium
CASE_100662,7.34,19.5,87.8,149.9,Loamy,High,58.67,Medium
CASE_100663,6.2,39.1,80.4,89.7,Sandy,Medium,14.86,Low
CASE_100664,8.22,13.3,53.8,135,Sandy,High,164.37,High
CASE_100665,5.34,36.3,23.8,197,Silty,High,21.29,Low
CASE_100666,6.08,28.5,32.1,228.8,Loamy,High,70.21,Medium
CASE_100667,5.12,15.2,40.1,144.4,Clay,High,153.23,High
CASE_100668,4.73,11.2,49.4,278.9,Clay,High,137.54,High
CASE_100669,5.54,41,87.2,118.9,Clay,Medium,130.09,High
CASE_100670,5.46,33.5,82,269.2,Loamy,High,85.2,Medium
CASE_100671,5.13,35.8,47,268.5,Clay,High,82.41,Medium
CASE_100672,8.47,15.5,94.1,390.9,Silty,High,20.84,Low
CASE_100673,6.81,40.3,41.7,187.1,Sandy,Low,133.59,High
CASE_100674,6.21,21.6,62.3,340.2,Loamy,Low,85.18,Medium
CASE_100675,7.26,38.8,61.7,311.8,Clay,Medium,187.21,High
CASE_100676,4.66,41.1,94.4,117.6,Loamy,Medium,164.58,High
CASE_100677,5.51,40.3,27.7,50.4,Clay,High,154.25,High
CASE_100678,7.89,21.4,70.7,237.7,Loamy,Medium,136.4,High
CASE_100679,6.8,25,40.7,307.4,Clay,Medium,138.09,High
CASE_100680,5.43,31.9,76,87.5,Clay,High,140.01,High
CASE_100681,6.92,39.7,23.4,293.7,Sandy,Medium,30.54,Low
CASE_100682,8.22,21.6,54.9,5.5,Loamy,High,98.31,Medium
CASE_100683,4.61,32.1,52,219.3,Clay,High,55.43,Medium
CASE_100684,7.16,43.8,23.8,356.2,Silty,High,62.71,Medium
CASE_100685,6.5,12.4,26.7,240.4,Clay,Medium,114.96,High
CASE_100686,6.13,15,73.6,117.3,Clay,Low,183.87,High
CASE_100687,8.1,37.7,70.7,271.9,Silty,Low,141.08,High
CASE_100688,4.5,19.5,36.3,264.7,Clay,Medium,62.69,Medium
CASE_100689,4.56,35.5,44.3,266,Sandy,Low,120.72,High
CASE_100690,5.04,13.3,82.4,367.4,Clay,Low,71.83,Medium
CASE_100691,6.11,35.5,78.5,47.3,Loamy,High,25.17,Low
CASE_100692,5.93,18.9,21,216.1,Clay,Low,143.87,High
CASE_100693,6.76,28,26.4,219.5,Clay,Medium,191.74,High
CASE_100694,6.05,18.4,27.1,126,Sandy,Medium,123.39,High
CASE_100695,8.45,25.5,59.9,349.4,Silty,Medium,39.49,Low
CASE_100696,7.75,21.4,42.9,161.1,Clay,High,118.63,High
CASE_100697,5.76,14.7,67.4,51.3,Sandy,High,138.03,High
CASE_100698,7.3,36.4,85.5,200,Sandy,High,140.22,High
CASE_100699,5.25,10.9,41.3,177.2,Sandy,Medium,125.74,High
CASE_100700,5.28,14.4,92.3,43.2,Silty,High,170.74,High
CASE_100701,6.67,13,24.3,42.2,Sandy,High,119.18,High
CASE_100702,5.43,32.3,81.5,16.6,Clay,High,111.15,High
CASE_100703,5.51,20.8,66,359.2,Silty,High,139.42,High
CASE_100704,7.42,22.8,68.1,186.5,Sandy,High,118.71,High
CASE_100705,6.73,22.6,88.4,8.4,Loamy,High,141.84,High
CASE_100706,7.57,34.6,44.9,270.3,Sandy,High,16.09,Low
CASE_100707,6.32,24.4,90.1,100.4,Silty,Medium,152.47,High
CASE_100708,8.38,23.2,24.7,135.7,Silty,Low,118.99,High
CASE_100709,7.13,44.9,53.9,141.9,Clay,Medium,36.57,Low
CASE_100710,8.03,24.5,49,263.9,Sandy,High,27.45,Low
CASE_100711,4.75,38.5,90.5,259.5,Silty,Low,131.41,High
CASE_100712,6.41,31.1,63.6,160.6,Clay,High,34.53,Low
CASE_100713,6.07,15.7,75.1,83.5,Clay,Low,29.73,Low
CASE_100714,6.88,40.5,63.3,138.2,Clay,Medium,112.71,High
CASE_100715,4.82,29.8,88.1,158.5,Clay,High,110.35,High
CASE_100716,5.11,25.1,64.7,32.2,Silty,Low,32.98,Low
CASE_100717,6.85,39,26,190.7,Sandy,Medium,152.25,High
CASE_100718,7.63,19.7,90.6,49.7,Clay,Low,166.59,High
CASE_100719,5.21,35.3,23,162.2,Loamy,High,194.33,High
CASE_100720,8.24,33.5,56.1,323.9,Silty,Medium,118.23,High
CASE_100721,8.43,13,81.1,112.1,Sandy,Medium,9.3,Low
CASE_100722,7.08,23.3,24.1,239.8,Loamy,Low,90.77,Medium
CASE_100723,5.37,25.5,23.6,328.2,Silty,High,79.73,Medium
CASE_100724,5.91,38,61.6,330.4,Silty,Medium,119.66,High
CASE_100725,6.89,24.5,91.8,216.4,Loamy,Low,157.96,High
CASE_100726,7,30,33.9,23.8,Clay,Low,48,Low
CASE_100727,6.59,17.9,70,32,Clay,Low,153.92,High
CASE_100728,5.24,17.1,49,20.5,Clay,Low,36.86,Low
CASE_100729,6.43,23.4,82.9,58.1,Loamy,Low,104.78,High
CASE_100730,4.78,30.1,62.5,351.2,Loamy,High,17.1,Low
CASE_100731,4.69,13.4,23.3,74.1,Clay,High,192.16,High
CASE_100732,4.68,43.1,83.2,118.6,Silty,Medium,130.89,High
CASE_100733,5.01,14.3,58.9,98.3,Clay,Medium,38.13,Low
CASE_100734,7.24,43.2,30.7,152.9,Sandy,High,197.95,High
CASE_100735,4.52,33.5,68.1,164.3,Loamy,High,19.97,Low
CASE_100736,4.6,21.7,33.3,39.4,Clay,Low,86.01,Medium
CASE_100737,7.41,21,49.5,94.8,Sandy,High,121.88,High
CASE_100738,7.69,33.7,61,190,Sandy,Low,39.91,Low
CASE_100739,5.62,22.2,78.7,397,Sandy,High,19.18,Low
CASE_100740,7.82,17.9,49.9,163.9,Loamy,High,175.49,High
CASE_100741,7.7,21.7,74.8,168,Silty,High,40.27,Low
CASE_100742,7.72,40.3,24.5,276.8,Clay,Low,167.36,High
CASE_100743,6.69,24.1,59,398.6,Sandy,Medium,86.08,Medium
CASE_100744,6.08,14.7,31.9,379.7,Silty,High,136.71,High
CASE_100745,8.47,17.3,46.7,267.7,Clay,High,181.87,High
CASE_100746,5.93,30.8,63.2,64.6,Silty,Low,86.59,Medium
CASE_100747,6.78,17.4,75.7,10.1,Clay,Low,112.93,High
CASE_100748,6.76,19.1,72.1,227,Clay,High,157.14,High
CASE_100749,6.94,27.1,30,104.5,Clay,High,148.33,High
CASE_100750,6.55,20.1,20.5,198.5,Loamy,High,121.86,High
CASE_100751,4.6,30.5,90.6,69.8,Silty,Low,148.25,High
CASE_100752,7,29.3,50.6,208.6,Clay,Low,22.83,Low
CASE_100753,4.59,40.2,63.3,356.3,Sandy,Medium,43.28,Low
CASE_100754,6.22,36.2,88.5,228.8,Silty,Low,162.98,High
CASE_100755,5.29,18.6,43,222.1,Loamy,Low,57.42,Medium
CASE_100756,6.96,12.9,26.6,68.7,Loamy,High,88.17,Medium
CASE_100757,5.63,24,80.9,5.5,Silty,Medium,46.73,Low
CASE_100758,7.69,42.6,21.5,61.5,Loamy,High,135.43,High
